Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
2703502,Jacuípe (AL),163820,1028,109192,4086,17606,31908
2703601,Japaratinga (AL),172722,5884,72198,5984,54006,34650
2703700,Jaramataia (AL),53416,880,14925,1422,8594,27595
2703759,Jequiá da Praia (AL),253943,7641,153163,11895,28014,53229
2703809,Joaquim Gomes (AL),343495,3531,179760,9535,47086,103582
2703908,Jundiá (AL),47848,811,12226,1679,9248,23884
2704005,Junqueiro (AL),330716,9237,138708,16242,75080,91448
2704104,Lagoa da Canoa (AL),209760,4675,76399,6984,41816,79886
2704203,Limoeiro de Anadia (AL),510685,18309,271592,24826,74873,121085
2704302,Maceió (AL),23411869,3352903,182482,2868034,13402932,3605520
2704401,Major Isidoro (AL),195053,6321,36197,6114,60618,85803
2704500,Maragogi (AL),694454,38091,211539,27480,275190,142152
2704609,Maravilha (AL),70325,2455,9310,2462,18203,37896
2704708,Marechal Deodoro (AL),2408889,591072,116602,863727,567226,270263
2704807,Maribondo (AL),155533,8286,17685,5843,67550,56170
2704906,Mar Vermelho (AL),39743,643,11519,1423,7344,18814
2705002,Mata Grande (AL),247877,5431,74482,6971,50078,110915
2705101,Matriz de Camaragibe (AL),306973,21937,69671,37318,77061,100986
2705200,Messias (AL),177493,6957,29007,19882,51123,70524
2705309,Minador do Negrão (AL),58505,1532,13534,1927,12276,29236
2705408,Monteirópolis (AL),57994,2297,4486,4283,13410,33518
2705507,Murici (AL),404936,10762,194001,18708,72044,109421
2705606,Novo Lino (AL),158769,2429,67933,4595,27497,56315
2705705,Olho d'Água das Flores (AL),217964,16859,10503,13784,91083,85736
2705804,Olho d'Água do Casado (AL),75481,2254,6867,2670,19233,44457
2705903,Olho d'Água Grande (AL),50483,653,10279,1584,9182,28785
2706000,Olivença (AL),84747,3183,7250,2991,21328,49995
2706109,Ouro Branco (AL),83592,2322,7613,4252,21430,47974
2706208,Palestina (AL),39565,629,1987,1601,8221,27127
2706307,Palmeira dos Índios (AL),947014,65873,82927,80462,422719,295032
2706406,Pão de Açúcar (AL),216317,8577,27282,15309,57801,107347
2706422,Pariconha (AL),76647,2116,8298,4369,16267,45597
2706448,Paripueira (AL),170826,6220,28056,18744,56895,60910
2706505,Passo de Camaragibe (AL),217863,3247,103326,6308,34282,70700
2706604,Paulo Jacinto (AL),77637,1705,20751,3018,16059,36104
2706703,Penedo (AL),796391,40687,140297,37955,331505,245947
2706802,Piaçabuçu (AL),311226,5848,177175,8618,50589,68996
2706901,Pilar (AL),542755,36902,62237,86166,169188,188261
2707008,Pindoba (AL),38030,435,13190,916,5390,18100
2707107,Piranhas (AL),268004,10143,48767,11736,78029,119329
2707206,Poço das Trincheiras (AL),92542,2189,9319,3109,19601,58324
2707305,Porto Calvo (AL),352157,14959,89883,28680,101844,116792
2707404,Porto de Pedras (AL),214060,3736,116797,6950,41205,45371
2707503,Porto Real do Colégio (AL),202440,7774,57325,6003,46361,84978
2707602,Quebrangulo (AL),139084,3541,48958,7155,24466,54964
2707701,Rio Largo (AL),1167790,186937,44227,141667,495758,299201
2707800,Roteiro (AL),138244,2512,68167,4508,22523,40534
2707909,Santa Luzia do Norte (AL),174614,38586,18223,44568,34556,38680
2708006,Santana do Ipanema (AL),563952,46060,22624,29764,296420,169084
2708105,Santana do Mundaú (AL),971680,2885,816131,19333,77800,55532
